State,Asian Alone Total,Asian Alone Less than HS,Asian Alone HS or GED,Asian Alone Some College or AA,Asian Alone BA or higher,Asian Alone Share Less than HS,Asian Alone Share HS or GED,Asian Alone Share Some College or AA,Asian Alone Share BA or higher,NHPI Alone Total,NHPI Alone Less than HS,NHPI Alone HS or GED,NHPI Alone Some College or AA,NHPI Alone BA or higher,NHPI Alone Share Less than HS,NHPI Alone Share HS or GED,NHPI Alone Share Some College or AA,NHPI Alone Share BA or higher
Alabama,42025,5440,8093,7338,21154,12.94,19.26,17.46,50.34,1439,,,,,,,,
Alaska,29572,5452,7543,8865,7712,18.44,25.51,29.98,26.08,4704,,1908,1662,,,40.56,35.33,
Arizona,147661,18881,19250,29599,79931,12.79,13.04,20.05,54.13,8560,,2762,3254,1571,,32.27,38.01,18.35
Arkansas,27307,3877,5011,4890,13529,14.2,18.35,17.91,49.54,3702,,,,,,,,
California,3991789,510632,564029,877087,2040041,12.79,14.13,21.97,51.11,100525,14402,31392,36520,18211,14.33,31.23,36.33,18.12
Colorado,111520,15866,17451,21437,56766,14.23,15.65,19.22,50.9,4864,,,1949,,,,40.07,
Connecticut,106249,10823,13086,13365,68975,10.19,12.32,12.58,64.92,,,,,,,,,
Delaware,25032,2099,2653,2898,17382,8.39,10.6,11.58,69.44,,,,,,,,,
District of Columbia,19603,,,,15625,,,,79.71,,,,,,,,,
Florida,387880,51713,67995,78328,189844,13.33,17.53,20.19,48.94,8134,,2452,2975,,,30.15,36.57,
Georgia,262112,36149,44341,41146,140476,13.79,16.92,15.7,53.59,3380,,,,,,,,
Hawaii,426195,49245,112831,123410,140709,11.55,26.47,28.96,33.02,87285,10018,38605,26663,11999,11.48,44.23,30.55,13.75
Idaho,15182,1952,3051,3757,6422,12.86,20.1,24.75,42.3,1417,,,,,,,,
Illinois,469283,42691,50871,75273,300448,9.1,10.84,16.04,64.02,2847,,,,,,,,
Indiana,82138,12218,11808,11280,46832,14.87,14.38,13.73,57.02,1563,,,,,,,,
Iowa,42162,7353,6795,7870,20144,17.44,16.12,18.67,47.78,1602,,,,,,,,
Kansas,50840,8321,8351,9041,25127,16.37,16.43,17.78,49.42,1155,,,,,,,,
Kentucky,37843,5743,5800,6378,19922,15.18,15.33,16.85,52.64,1235,,,,,,,,
Louisiana,54255,12180,10898,8946,22231,22.45,20.09,16.49,40.98,820,,,,,,,,
Maine,9779,1783,1799,1896,4301,18.23,18.4,19.39,43.98,,,,,,,,,
Maryland,264470,25043,31028,40720,167679,9.47,11.73,15.4,63.4,1982,,,,,,,,
Massachusetts,285973,42703,40625,32814,169831,14.93,14.21,11.47,59.39,1294,,,,,,,,
Michigan,186277,20165,20957,27143,118012,10.83,11.25,14.57,63.35,1839,,,,,,,,
Minnesota,151970,30403,23972,32190,65405,20.01,15.77,21.18,43.04,1232,,,,,,,,
Mississippi,19596,3469,3781,4527,7819,17.7,19.29,23.1,39.9,,,,,,,,,
Missouri,73958,9545,10508,11055,42850,12.91,14.21,14.95,57.94,3386,,,,,,,,
Montana,4788,,,,2247,,,,46.93,,,,,,,,,
Nebraska,25512,5803,4095,3926,11688,22.75,16.05,15.39,45.81,994,,,,,,,,
Nevada,174917,18418,37047,53321,66131,10.53,21.18,30.48,37.81,12099,,4881,4453,1499,,40.34,36.8,12.39
New Hampshire,21769,2736,3235,2846,12952,12.57,14.86,13.07,59.5,,,,,,,,,
New Jersey,590486,45467,65175,74542,405302,7.7,11.04,12.62,68.64,1876,,,,,,,,
New Mexico,21509,2967,3670,4166,10706,13.79,17.06,19.37,49.77,851,,,,,,,,
New York,1168646,252182,206566,173195,536703,21.58,17.68,14.82,45.93,5474,,,,,,,,
North Carolina,177008,25680,26154,27091,98083,14.51,14.78,15.3,55.41,3661,,,,,,,,
North Dakota,6151,,,,2955,,,,48.04,,,,,,,,,
Ohio,157691,19698,21389,20112,96492,12.49,13.56,12.75,61.19,2199,,,,,,,,
Oklahoma,52239,9472,9752,11269,21746,18.13,18.67,21.57,41.63,2986,,1346,,,,45.08,,
Oregon,115465,16067,16678,25417,57303,13.92,14.44,22.01,49.63,8707,,2828,3332,,,32.48,38.27,
Pennsylvania,276567,47139,42880,35609,150939,17.04,15.5,12.88,54.58,2415,,,,,,,,
Puerto Rico,5522,,,,,,,,,,,,,,,,,
Rhode Island,22115,3728,3916,3537,10934,16.86,17.71,15.99,49.44,,,,,,,,,
South Carolina,48667,6892,9158,9323,23294,14.16,18.82,19.16,47.86,1673,,,,,,,,
South Dakota,6729,1821,1233,,2799,27.06,18.32,,41.6,,,,,,,,,
Tennessee,74602,10578,13353,11470,39201,14.18,17.9,15.37,52.55,2269,,,,,,,,
Texas,839896,102763,111600,138165,487368,12.24,13.29,16.45,58.03,14794,,4928,5253,2990,,33.31,35.51,20.21
Utah,44512,5818,8430,9224,21040,13.07,18.94,20.72,47.27,13822,,5130,5486,2029,,37.11,39.69,14.68
Vermont,5818,1295,,,2645,22.26,,,45.46,,,,,,,,,
Virginia,360570,37894,47488,60728,214460,10.51,13.17,16.84,59.48,3484,,,1344,,,,38.58,
Washington,413040,52532,61839,89071,209598,12.72,14.97,21.56,50.75,27479,3142,11846,9131,3360,11.43,43.11,33.23,12.23
West Virginia,9670,,1443,,6136,,14.92,,63.45,,,,,,,,,
Wisconsin,86653,13881,15640,15973,41159,16.02,18.05,18.43,47.5,1179,,,,,,,,
Wyoming,3480,,,,,,,,,,,,,,,,,
